latitude,longitude,local_government_area,year,severity,speed_limit,intersection,road_position_horizontal,road_wet,weather,crash_type,lighting,traffic_controls,casualties,fatalities,serious_injuries,minor_injuries,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram
-36.88516199,174.7384224,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.88516199,174.7384224,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.88516199,174.7384224,Auckland,2018,property_damage,50,TRUE,straight,,,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.88516199,174.7384224,Auckland,2018,property_damage,50,TRUE,straight,,,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.86624205,174.6382433,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.92026596,174.8121978,Auckland,2018,property_damage,50,FALSE,straight,,fine,,daylight,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.8611453,174.7620061,Auckland,2018,property_damage,60,TRUE,straight,,,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.89362611,174.6928289,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.87850767,174.728084,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.89057803,174.7942595,Auckland,2018,property_damage,50,TRUE,curved_view_open,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.89057803,174.7942595,Auckland,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.89057803,174.7942595,Auckland,2018,property_damage,50,TRUE,straight,,fine,,darkness_not_lit,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.99401214,174.7860463,Auckland,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.78959021,175.2816485,Hamilton City,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.78959021,175.2816485,Hamilton City,2018,property_damage,30,TRUE,straight,,rain,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.96042417,174.8888273,Auckland,2018,property_damage,60,TRUE,curved_view_open,,fine,,dawn_dusk,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.80640138,175.3310838,Waikato District,2018,property_damage,80,TRUE,straight,,rain,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.92214971,174.7943931,Auckland,2018,property_damage,50,TRUE,straight,,fine,,darkness_not_lit,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.92214971,174.7943931,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.00053506,174.8693112,Auckland,2018,property_damage,70,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.00053506,174.8693112,Auckland,2018,property_damage,70,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.7592226,174.3112351,Whangarei District,2018,property_damage,100,TRUE,straight,,fine,,darkness_not_lit,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.02346258,174.8989303,Auckland,2018,property_damage,50,TRUE,straight,,fine,,dawn_dusk,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.02346258,174.8989303,Auckland,2018,property_damage,50,TRUE,straight,,fine,,dawn_dusk,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
