latitude,longitude,local_government_area,statistical_area,crash_id,date_time_id,description_id,vehicles_id,casualties_id,year
-37.28369987,174.7110041,Waikato District,521153,NZ662854,2018----,967193,1c1i,0c,2018
-36.94092817,174.8383335,Auckland,521901,NZ662856,2018----,967195,1c1i,0c,2018
-36.89257637,174.7908501,Auckland,519200,NZ662857,2018----,967196,3c,0c,2018
-36.89257637,174.7908501,Auckland,519200,NZ665898,2018----,970558,1c1T1i,0c,2018
-37.41034126,175.1246424,Waikato District,527210,NZ662858,2018----,967197,1c1T1i,0c,2018
-36.89595591,174.7238651,Auckland,517903,NZ662859,2018----,967198,2c1i,0c,2018
-41.29841975,174.8286031,Wellington City,577400,NZ662864,2018----,967203,1f1B,0c,2018
-40.75762486,175.1479221,Kapiti Coast District,564400,NZ662865,2018----,967204,1c1s1i,0c,2018
-40.87285203,175.0528789,Kapiti Coast District,563706,NZ662866,2018----,967205,2c1i,0c,2018
-36.87061504,174.7482005,Auckland,517500,NZ662867,2018----,967206,2c1i,0c,2018
-36.87018519,174.7620455,Auckland,518101,NZ662868,2018----,967207,1c1x,0c,2018
-36.87020891,174.7365577,Auckland,517600,NZ662869,2018----,967208,2c1i,0c,2018
-36.85483198,174.8366727,Auckland,516500,NZ662870,2018----,967209,2c1i,0c,2018
-36.91486217,174.8388973,Auckland,520402,NZ662872,2018----,967211,2c,0c,2018
-41.1374436,174.8799423,Porirua City,571400,NZ662874,2018----,967213,2c1i,0c,2018
-36.85783187,174.7599447,Auckland,514200,NZ662875,2018----,967214,2c,0c,2018
-40.36617764,175.6020309,Palmerston North City,563000,NZ662876,2018----,967215,3c2i,0c,2018
-36.40508058,174.6474638,Auckland,505500,NZ662880,2018----,967219,1c1i,0c,2018
-36.75646407,174.6910975,Auckland,508806,NZ662881,2018----,967220,1c1i,0c,2018
-36.89539496,174.6169715,Auckland,513012,NZ662885,2018----,967224,3c1i,0c,2018
-36.77428698,174.6845422,Auckland,509100,NZ662886,2018----,967225,1c1i,0c,2018
